0,1
what said.,Which said.
i didn't today... must mean i need to take another trip!,I didn't do it today. I have to make another trip!
"really missed a prime opportunity for men without hats parody, there.",I really missed an opportunity for men without hats.
did you know that suicide is the second leading cause of death among teens 10-24,Did you know that suicide is the second cause of death among adolescents 10-24
will you be making bos&gt;las non stop permanently anytime soon?,Are you going to make boselgt;las non stop at all times?
do you miss me? don't worry we'll be together very soon.,"I miss you? Don't worry, we'll be together soon."
lax to ewr - middle seat on a red eye. such a noob maneuver.,lax to ewr - intermediate seat on a red eye. such a noob maneuver.
are the hours of operation for the club at sfo that are posted online current?,are the operating hours for the sfo club that are posted online in progress?
nice rt vibe with the moodlight from takeoff to touchdown.,beautiful atmosphere rt with the mood light from takeoff to touch.
when can i book my flight to hawaii??,When can I book my flight to hawaii?
plz help me win my bid upgrade for my flight 2/27 lax---&gt;sea!!! _ua_uo_uo14iou,plz helps me win my offer upgrade for my flight 2/27 lax---authorizedgt;sea! ua_uo_uo14iou
i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires?,I have an unused ticket but I went to a new town where you don't fly. How can I fly with you before it expires?
are flights leaving dallas for seattle on time feb 24?,are the flights leaving dallas for the bottle of time fb 24?
dream,dream
after last night i think agree,"after last night, I think I'm okay."
all were entertaining,all were entertaining
"is flight 769 on it's way? was supposed to take off 30 minutes ago. website still shows ""on time"" not ""in flight"". thanks.","Is flight 769 on its way? was supposed to take off 30 minutes ago. the website always shows ""in time"" not ""in flight."" thanks."
wish you flew out of atlanta... soon?,I'd like you to leave atlanta. Soon?
julie andrews. hands down.,julie andrews. Hands down.
will flights be leaving dallas for la on february 24th?,The flights will leave Dallas for February 24th?
- carrie!,- Carrie!
new marketing song? let us know what you think?,new marketing song? Tell us what you think?
julie andrews first but lady gaga wow'd me last night. carrie? meh.,"julie and andrews first, but the gaga lady woke me up last night. Carrie? meh."
"all are great , but i have to go with _u_uoi","All are great, but I have to go with u_uoi"
"sorry, mary martin had it first!","Sorry, mary martin had it first!"
flight 0736 dal to dca 2/24 2:10pm. tried to check in could not. status please.,flight 0736 dal for dca 2/24 2:10pm. tried to check in couldn't. status please.
need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,need to change booking. I have a blank credit card. Should I change the phone to waive change costs? Or can I do it online?
i emailed your customer service team. let me know if you need the tracking number.,I sent your customer service team. Tell me if you need the tracking number.
"hi i just booked a flight but need to add baggage, how can i do this?","I booked a flight but I need to add luggage, how can I do that?"
"or watch some of the best student films in the country at 35,000 feet!","or watch some of the country's best student films at 35,000 feet!"
first time flying you all. do you have a different rate/policy for media bags? thanks,"First time, I'll steal you all. Do you have a different rate/policy for media bags? Thank you."
what happened to doom?!,What happened to death?
can't bring up my reservation online using flight booking problems code,cannot bring my booking online using the flight booking problem code
random q: what's the distribution of elevate avatars? i bet that kitty has a disproportionate share,random q: what is the distribution of high avatars? I bet the kitten has a disproportionate share
i &lt;3 flying va but life happens and i am trying to my trip jperhi can you help.va home page will not let me ?,i &lt;3 flight goes but life arrives and I try my trip jperhi can help you. Is this the homepage not gonna let me do it?
"""you down with rnp?"" ""yeah you know me!""","""you're with rnp?"" ""you know me!"""
"hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?","Hi, I didn't get any points on my last flight account, how do I add the flight and points to my account?"
why is flight 345 redirected?,Why is flight 345 redirected?
trying to add my boy prince to my ressie. sf this thursday from lax,I'm trying to add my prince to my ressie. sf this Thursday of lax
check out new music,see the new music
i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?,I was scheduled for sfo 2 dal flight 714 today. changed in 24th time. Does it look like the flight is still in progress?
"has getaway deals through may, from $59 one-way. lots of cool cities",has escape transactions from $59 go simple. a lot of cool cities
"has getaway deals through may, from $59 one-way. lots of cool cities",has escape transactions from $59 go simple. a lot of cool cities
"do you provide complimentary upgrades to first class, if there are available seats?","provide additional improvements to the first class, if there are seats available?"
how can i watch the on my jfk-&gt;sfo flight?,How can I look at my Jfk-authorized flight?
is flight 882 cancelled flightled and what do i do if it is?,882 cancelled and what if it is?
has flight number 276 from sfo to cabo san lucas arrived yet?,Is it the flight number 276 of sfo to cabo san lucas?
dropped a track on you...,I left a lead on you.
can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service _ua,Can you find us a laxic flt that's earlier than midnight on Monday? would be a great customer service _ua
is there special assistance if i travel alone w/2 kids and 1 infant? priority boarding?,Is there any special assistance if I travel alone with children and an infant? Priority boarding?
is your website ever coming back online?,Is your site already online?
"- is flight 713 from love field to sfo definitely cancelled flightled for monday, february 23?","- is Flight 713 of the love field permanently cancelled in flight for Monday, February 23?"
is flight 0769 out of lga to dfw on time?,flight 0769 from lga on time?
my drivers license is expired by a little over a month. can i fly friday morning using my expired license?,My driver's license expired a little over a month. Can I fly Friday morning using my expired permit?
plans to include austin to its dallas route - topnews arab,dallas to its dallas route - topnews arab
to jump into the dallas-austin market -,to jump on the Dallas-Austin market -
"beats eps views, takes on va luv - investor's business daily","beats eps views, takes on va luv - the affairs of the daily investor"
lister to my show my on monday 1230 130,show on Monday 1230 130
to begin dallas-austin in april - 88.9 ketr,start dallas-austin in April - 88.9 ketr
i'd love to know what your policy is for damaged luggage.,I'd like to know what your policy is for damaged baggage.
i dm you,I love you
can you please have flights in sjc ? i have no choice but to fly southwest to vegas _u_u_,Can you please have flights in please? I have no other choice but to fly southwest to vegas u_u
if only you guys had flights from cmh.,If you had a centimeter flight.
having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?,having a problem finding a missing object in a plane. Can you help me find the airport where my plane went next?
ui@virginamerica:you've met your match.got status on another airline? upgrade : ? _uaa,ui@virginamerica: you met your game. another airline? upgrade : ?uaa
nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!,nervous about my flight of lax dc that canceled tomorrow! I sent you a doctor to help me!
can you please get me to the new york area before monday afternoon,Can you take me to the new york area before Monday afternoon
"on ipad and iphone, clicking the checkin link in the email i received at 24hrs before flight","on ipad and iphone, by clicking on the registration link in the email I received at 24 hours before the flight"
"ituas just a bug report, guys","It's just a bug report, guys."
any updates on flight 413 from jfk &gt; lax,all updates on jfk flight 413 &gt; lax
spruce moose!,moose!
"if you'd love to see more girls be inspired to become pilots, rt our free woaw event march 2-8 at abq.","if you would like to see more girls inspired to become pilots, rt our free event of the lady 2-8 March in abq."
"beats expectations, shares take off - santa cruz sentinel","beats expectations, actions take off - santa cruz sentinel"
any plans to start flying direct from dal to las?,plans to start stealing directly from the las dal?
big love/gratitude.mpower w/ werin vipswagbags@,great love/gratitude. mpower w/ werin vipswagbags@
grand budapest hotel,Grand hotel
this is what you missed next trip to the 407.,That's what you missed the next trip to 407.
shares rise on q4 financial results - usa today,shares increase on the financial results q4 - usa today
adds pillows instead of lie-flat seats in first class arms race,adds pillows to the place of flat seats in the first class arms race
way to take advantage of,medium to enjoy
you know i'm flying virgin for the fight,You know I'm stealing a virgin for battle
shares up on 4q results -,actions on 4q results -
