0,1
plus you've added commercials to the experience... tacky.,the more you added advertisements to the experience. tacky.
"yes, nearly every time i fly vx this uiear wormu wonuat go away","Yes, almost every time I fly vx this uiear veru wonuat go"
"well, i didn'tu_but now i do!","Well, I didn't, but now I'm doing it!"
"it was amazing, and arrived an hour early. you're too good to me.","It was amazing, and it happened an hour early. You're too good for me."
i &lt;3 pretty graphics. so much better than minimal iconography.,i &lt;3 pretty graphics. so much better than minimal iconography.
this is such a great deal! already thinking about my 2nd trip to &amp; i haven't even gone on my 1st trip yet! ;p,It's so awesome! already thinking about my second trip to &amp; I haven't even made my first trip yet! ;p
i'm flying your skies again! u take all the away from travel,I'm again stealing your heavens! u take all travel distances
thanks!,Thank you!
so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america.,so excited about my first cross country to mco flight lax that I only heard great things about virgin america.
i _u flying 14u_uo,i _u flying 14u_uo
you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.,You know what would be incredibly awesome? Please! I want to fly with you.
i love this graphic.,I love this chart.
i love the hipster innovation. you are a feel good brand.,I love hipster innovation. You're a luxury brand.
this is great news! america could start flights to hawaii by end of year via,That's good news! america may start flights to hawaii by the end of the year via
moodlighting is the only way to fly! best experience ever! cool and calming. _uoiio,pleasure is the only way to fly! best experience ever! cool and quiet. _uoiio
"done and done! best airline around, hands down!","done and done! The best airline, hands down!"
"view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains!","view of the city center of los angeles, the clear wood panel, and beyond this rain in the mountains!"
i'm for a good reason: you rock!!,I'm for a good reason: rock!
wow this just blew my mind,I just blew my mind
julie andrews all the way though was very impressive! no to,"julie and andrews all the way, but was very impressive! No."
you know it. need it on my spotify stat,You know that. I need that on my stat.
i'm lady gaga!!! she is amazing! _u_,I'm Lady gaga! She's amazing! u
love all three but you really can't beat the classics!,love the three but you can really not beat the classics!
congrats on winning the award for best deals from an airline (us),Congratulations on winning the award for the best offers of an airline (us)
"not worried, it's been a great ride in a new plane with great crew. all airlines should be like this.","It's not worried, it's a great ride on a new plane with a big team. All airlines should be like that."
awesome. i flew yall sat morning. any way we can correct my bill ?,Great. I stole in the morning. any way we can fix my bill?
i've applied more then once to be a member of the crew team...im 100% interested. -g,I once again asked to be a member of the crew. 100% interested. - g
"- amazing customer service, again! _uo_uo raeann in sf - she's the best!",- an incredible customer service again! uo_uo raeann in sf - it's the best!
"has getaway deals through may, from $59 one-way. lots of cool cities",has escape transactions from $59 go simple. a lot of cool cities
"has getaway deals through may, from $59 one-way. lots of cool cities",has escape transactions from $59 go simple. a lot of cool cities
have a great week _ui_io,have a good week ui_io
come back to already. we need you to take us out of this horrible cold.,Come back already. We need you to take us away from this horrible cold.
"is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience","That's the best airline I stole. easy to change your booking, helpful representatives and a comfortable flight experience"
and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,And again! Another one kicks his ass! naelah represents your team so beautiful! Thank you!
your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,your beautiful front design is down now; but it was cool to book my b/c ticket all your back-end was secure.
"love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining","Loves the team that runs the e9 door at las tonight. waiting for a delayed flight, and they kept things entertaining"
thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!,thanks to your nyc-jfk team who moved mountains to bring me back to the san francisco house tonight!
you have the absolute best team and customer service ever. every time i fly with you i'm delighted. thank you!,You have the best team and customer service ever. Every time I fly with you I'm happy. Thank you!
completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time.,experience completely awesome last month bos-las non-stop. Thank you for such an impressive flight and leave.
you rock for making it so i can watch on my flight!!,You're making fun of this so I can watch my flight!
always!!! xoxo,Always! xoxo
best customer service rep in the world! takes the cake!!!,best customer service in the world! Take the cake!
you have amazing staff &amp; super helpful as i just ran the they have spoiled me with comfort!!!,You have an incredible and super helpful staff because I just ran the they spoiled me with comfort!
always have it together!!! you're welcome! rt you're so welcome.,Always have it together! You're welcome.
home to in' back to,go home
thank you for checking in. tickets are purchased and customer is happy,Thanks for checking. tickets are purchased and the customer is happy
thank you for the follow,thanks for the follow-up
_u_ rt youuave met your match. got status on another airline? upgrade (+restr):,u rt youuave met your game. Another plane? upgrade +(restr:)
only way to fly!,Just a way to fly!
you will match my status? cool!,Are you going to match my status? cool!
thanks!,Thank you!
i love your guy's song! we're dancing to it for our high school dance revue,I love your guy's song! We dance for our high school dance magazine.
"done! thank you for the quick response, apparently faster than sitting on hold","It's done! Thank you for the quick answer, apparently faster than staying on hold"
cool picture of another virginamerica plane off our wing. what a site!,cool image of another virginamerica plane on our wing. What site!
keep up the great work,Keep the good work
my goodness your people field are amazing under pressure _ufrom texas in crisis please fly me to ny,my well-being your people field are amazing under pressure _ufrom texas in crisis please fly to ny
thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now?,Thanks for a great flight from boston! The pilots made a good landing in the snow. Can we go back to the now?
"thanks so much for the awesome support, you guys rock!","Thanks a lot for the impressive support, you guys rock!"
twitter team. you guys killed it for rescheduling me asap. thank you!,team twitter. You killed him for rescheduling. Thank you!
when are you putting some great deals from pdx to las or from las to pdx show me your love!,When you put good pdx stuff to las or pdx las to show me your love!
wish i can afford to fly with you next friday going back home.. love everything about your airline,If I could afford to fly with you next Friday back home. love all your airline
like,Like that.
you have the best flight attendant ever!!!,You have the best onboard agent!
"awesome! rt watch nominated films at 35,000 feet.","Great, look at the 35,000-foot nominees."
thanks so much!,Thank you very much!
the only airline based in silicon valley!,the only airline based in the silicon valley!
very nicely done. _uo,Very well done. - Yes.
iuam looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink!,iuam is looking forward to watching the Oscars on my flight home tomorrow. I could even have something to drink.
hahaha _ua@virginamerica you guys are amazing. i love you guys!!!_uon,hahaha _ua@virginamerica you are amazing. I love you!
sounds like fun !,Sounds good.
"classiq, luv virgin america. greetingz","classiq, luv virgin america. salutationz"
thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Thanks for your great customer service today and for helping me get all my trip sorted!
thanks guys! sweet route over the rockies,Thank you! gentle road on the rocks
love the 90s music blasting at gate in while waiting for flight to only if i could get an iced coffee!,Love the music of the 90s while waiting for the flight only if I could get an iced coffee!
"thank you for the easy itinerary shift for impending weather. quick, painless &amp; free.","Thanks for the easy route change for the imminent time. fast, painless and free."
thanks! good times there and back! the entire flight_uu#sfo,"Thank you, good times there and back! the whole flight_uu#sfo"
you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. thank you. keep it up!,you do an excellent job by adding little luxuries/aesthes that improve the air travel experience. Thank you.
thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too,Thank you for checking the baggage door on your full flight dfw-lax 883 and giving me boarding too soon
i see what you did there,I see what you did here.
your inflight team makes the experience,your flight team experience
cutest salt and pepper shaker ever. just when i think you guys can't get any better you just do!,the most cut salt and pepper shaker. just when I think you can't get better than you do!
fav airline,fav airlines
we have a hot female pilot! sweet! dca to sfo!,We have a sexy female pilot! That's nice! dca to sfo!
thank you!!,Thank you!
would love to do more for virgin just like i do for,would have liked to do more for a virgin as I do it for
loved it. can't wait for monday's return flight... mostly just to watch the inflight safety video again.,I loved it. I can't wait for Monday's flight back. especially to watch the security video in flight again.
hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,Hello! I just wanted to see if you have new roads scheduled this year for newark. I love to steal you guys and I hope to do more!
"i mean. probably inappropriate while on board.. but, it's on!",I mean. Probably inappropriate on board. But let's go!
happy to spend the day together. let's do this!,happy to spend the day together. Let's go!
.@virginamerica they were very understanding and helped me out. thx!,@.virginamerica they helped me understand. thx!
thank you! i absolutely will _u_,Thank you! I'm going to absolutely u
how about some free drinks on the flight back for the free promo?,What would you say to drink free drinks on the flight for free promo?
thanks!,Thank you!
thanks!,Thank you!
thanks for taking care of on her flight!!,Thanks for taking care of his flight!
thanks for the lovely soft views! to,Thanks for the beautiful soft views! to
"i adore you, and am so looking forward to my flight to austin in two weeks.","I love you, and I can't wait to fly in a couple of weeks."
i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,I was so glad he was mentioned. I took my first virgin flight a few years and it was a transformational experience.
"first time flying virgin, went to .thanks for the smooth ride. easily my new fav airline!","the first time virgin flying, went to . thank you for the right ride. easily my new airline!"
"just promoting the product is all, had a problem with southwest and recommend noneother than the best!","just promoting the product is everything, had a problem with the southwest and recommend nothing but the best!"
"love you guys, but pls get some direct routes las to aus!","I love you, but I have some direct routes to aus!"
of course! i work for and i'm obsessed with the entire virgin family!!,Of course! I work for and am obsessed with the whole virgin family!
ok! first time flying with you tonight,Okay! first time with you tonight
got it squared away. someone picked up as soon as i tweeted. should have tweeted sooner. _ua,I found him stuck. Someone picked up as soon as I tweeted. Should have tweeted earlier. - You're right.
ui@virginamerica: of course. have fun celebrating!u thanks! happy chinese new year!,ui@virginamerica: of course. Have fun celebrating! Happy Chinese year!
flight booking problems last second flight for next week from sfo- to san any chance you want to gift me a promo code since i love you guys,second flight booking problems for next week from sfo- to san any chance you want to give me a promo code since I love you guys
