original,translated
what said,which said
i did not today must mean i need to take another trip,i did not do it today i have to make another trip
really missed a prime opportunity for men without hats parody there,i really missed an opportunity for men without hats
did you know that suicide is the second leading cause of death among teens 10 24,did you know that suicide is the second cause of death among adolescents 10 24
will you be making bos gt las non stop permanently anytime soon,are you going to make boselgt las non stop at all times
do you miss me do not worry we will be together very soon,i miss you do not worry we will be together soon
lax to ewr middle seat on a red eye such a noob maneuver,lax to ewr intermediate seat on a red eye such a noob maneuver
are the hours of operation for the club at sfo that are posted online current,are the operating hours for the sfo club that are posted online in progress
nice rt vibe with the moodlight from takeoff to touchdown,beautiful atmosphere rt with the mood light from takeoff to touch
when can i book my flight to hawaii,when can i book my flight to hawaii
plz help me win my bid upgrade for my flight 2 27 lax gt sea ua uo uo14iou,plz helps me win my offer upgrade for my flight 2 27 lax authorizedgt sea ua uo uo14iou
i have an unused ticket but moved to a new city where you do not fly how can i fly with you before it expires,i have an unused ticket but i went to a new town where you do not fly how can i fly with you before it expires
are flights leaving dallas for seattle on time feb 24,are the flights leaving dallas for the bottle of time fb 24
dream,dream
after last night i think agree,after last night i think i m okay
all were entertaining,all were entertaining
is flight 769 on it is way was supposed to take off 30 minutes ago website still shows on time not in flight thanks,is flight 769 on its way was supposed to take off 30 minutes ago the website always shows in time not in flight thanks
wish you flew out of atlanta soon,i d like you to leave atlanta soon
julie andrews hands down,julie andrews hands down
will flights be leaving dallas for la on february 24th,the flights will leave dallas for february 24th
carrie,carrie
new marketing song let us know what you think,new marketing song tell us what you think
julie andrews first but lady gaga wow d me last night carrie meh,julie and andrews first but the gaga lady woke me up last night carrie meh
all are great but i have to go with u uoi,all are great but i have to go with u uoi
sorry mary martin had it first,sorry mary martin had it first
flight 0736 dal to dca 2 24 2 10pm tried to check in could not status please,flight 0736 dal for dca 2 24 2 10pm tried to check in couldn t status please
need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,need to change booking i have a blank credit card should i change the phone to waive change costs or can i do it online
i emailed your customer service team let me know if you need the tracking number,i sent your customer service team tell me if you need the tracking number
hi i just booked a flight but need to add baggage how can i do this,i booked a flight but i need to add luggage how can i do that
or watch some of the best student films in the country at 35 000 feet,or watch some of the country s best student films at 35 000 feet
first time flying you all do you have a different rate policy for media bags thanks,first time i ll steal you all do you have a different rate policy for media bags thank you
what happened to doom,what happened to death
cannot bring up my reservation online using flight booking problems code,cannot bring my booking online using the flight booking problem code
random q what is the distribution of elevate avatars i bet that kitty has a disproportionate share,random q what is the distribution of high avatars i bet the kitten has a disproportionate share
i lt 3 flying va but life happens and i am trying to my trip jperhi can you help va home page will not let me,i lt 3 flight goes but life arrives and i try my trip jperhi can help you is this the homepage not going to let me do it
you down with rnp yeah you know me,you re with rnp you know me
hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,hi i did not get any points on my last flight account how do i add the flight and points to my account
why is flight 345 redirected,why is flight 345 redirected
trying to add my boy prince to my ressie sf this thursday from lax,i m trying to add my prince to my ressie sf this thursday of lax
check out new music,see the new music
i was scheduled for sfo 2 dal flight 714 today changed to 24th due weather looks like flight still on,i was scheduled for sfo 2 dal flight 714 today changed in 24th time does it look like the flight is still in progress
has getaway deals through may from 59 one way lots of cool cities,has escape transactions from 59 go simple a lot of cool cities
do you provide complimentary upgrades to first class if there are available seats,provide additional improvements to the first class if there are seats available
how can i watch the on my jfk gt sfo flight,how can i look at my jfk authorized flight
is flight 882 cancelled flightled and what do i do if it is,882 cancelled and what if it is
has flight number 276 from sfo to cabo san lucas arrived yet,is it the flight number 276 of sfo to cabo san lucas
dropped a track on you,i left a lead on you
can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service ua,can you find us a laxic flt that is earlier than midnight on monday would be a great customer service ua
is there special assistance if i travel alone w 2 kids and 1 infant priority boarding,is there any special assistance if i travel alone with children and an infant priority boarding
is your website ever coming back online,is your site already online
is flight 713 from love field to sfo definitely cancelled flightled for monday february 23,is flight 713 of the love field permanently cancelled in flight for monday february 23
is flight 0769 out of lga to dfw on time,flight 0769 from lga on time
my drivers license is expired by a little over a month can i fly friday morning using my expired license,my driver s license expired a little over a month can i fly friday morning using my expired permit
plans to include austin to its dallas route topnews arab,dallas to its dallas route topnews arab
to jump into the dallas austin market,to jump on the dallas austin market
beats eps views takes on va love investor s business daily,beats eps views takes on va love the affairs of the daily investor
lister to my show my on monday 1230 130,show on monday 1230 130
to begin dallas austin in april 88 9 ketr,start dallas austin in april 88 9 ketr
i d love to know what your policy is for damaged luggage,i d like to know what your policy is for damaged baggage
i dm you,i love you
can you please have flights in sjc i have no choice but to fly southwest to vegas u u,can you please have flights in please i have no other choice but to fly southwest to vegas u u
if only you guys had flights from cmh,if you had a centimeter flight
having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,having a problem finding a missing object in a plane can you help me find the airport where my plane went next
ui virginamerica you ve met your match got status on another airline upgrade uaa,ui virginamerica you met your game another airline upgrade uaa
nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,nervous about my flight of lax dc that canceled tomorrow i sent you a doctor to help me
can you please get me to the new york area before monday afternoon,can you take me to the new york area before monday afternoon
